user_id,ticket_count,avg_response_time,resolved_flag
7590-VHVEG,0,36.5475210085118,1
5575-GNVDE,0,18.625696543499863,1
3668-QPYBK,0,22.35324862837346,1
7795-CFOCW,0,33.76926440525838,1
9237-HQITU,0,44.230279941737486,1
9305-CDSKC,0,19.994021521104244,1
1452-KIOVK,0,13.219174066952442,1
6713-OKOMC,1,31.88241230496355,1
7892-POOKP,0,31.102554298873326,1
6388-TABGU,0,35.86405571658962,1
9763-GRSKD,0,25.099775979221473,1
7469-LKBCI,1,36.566444591420385,1
8091-TTVAX,1,19.79604573782451,1
0280-XJGEX,0,25.810258513486993,1
5129-JLPIS,0,25.364218969864474,1
3655-SNQYZ,0,20.440957820828903,1
8191-XWSZG,0,28.95902502741383,0
9959-WOFKT,0,15.841252243683453,1
4190-MFLUW,0,23.572570766760464,1
4183-MYFRB,0,17.29709479700045,1
8779-QRDMV,0,36.92106519050616,0
1680-VDCWW,0,24.870121749051524,1
1066-JKSGK,0,20.72048208501312,1
3638-WEABW,0,17.04684204160904,1
6322-HRPFA,0,21.57424255162877,1
6865-JZNKO,0,19.405437014111293,1
6467-CHFZW,0,26.21884335906045,1
8665-UTDHZ,0,45.37778817766111,1
5248-YGIJN,2,29.537767227634657,1
8773-HHUOZ,0,15.111161002078399,1
3841-NFECX,1,27.57741110494984,1
4929-XIHVW,0,12.668036631683535,1
6827-IEAUQ,0,48.10753430075709,1
7310-EGVHZ,0,43.764687109405074,1
3413-BMNZE,0,23.221286029363757,1
6234-RAAPL,0,20.305637521142696,1
6047-YHPVI,0,17.759500889662526,1
6572-ADKRS,1,36.26466480342337,1
5380-WJKOV,0,38.09071471293391,1
8168-UQWWF,1,40.00929290420761,1
8865-TNMNX,0,32.85499644941737,1
9489-DEDVP,0,6.6107918542486,1
9867-JCZSP,0,35.97930884518465,1
4671-VJLCL,0,6.80717567929242,1
4080-IIARD,0,14.091115369792837,1
3714-NTNFO,0,15.728227478504088,1
5948-UJZLF,0,22.320650352446187,1
7760-OYPDY,1,24.896618935181987,1
7639-LIAYI,1,38.53750172770394,1
2954-PIBKO,0,15.874439042656807,1
8012-SOUDQ,0,2.5685725856865202,1
9420-LOJKX,0,28.13641191800937,1
6575-SUVOI,0,26.828979932133656,1
7495-OOKFY,1,15.636605306006837,1
4667-QONEA,1,25.574495737246874,1
1658-BYGOY,0,36.690347942646824,1
8769-KKTPH,0,20.09123757356249,0
5067-XJQFU,0,7.703069704777873,1
3957-SQXML,0,11.752000930557879,1
5954-BDFSG,1,33.31503024414584,1
0434-CSFON,0,25.595452035887828,1
1215-FIGMP,0,9.582582113598512,1
0526-SXDJP,0,34.65373814999343,1
0557-ASKVU,1,11.684612343955035,1
5698-BQJOH,0,19.47526471779164,1
5122-CYFXA,0,30.150123638773557,1
8627-ZYGSZ,2,8.331091062396599,1
3410-YOQBQ,1,26.759829353164204,0
3170-NMYVV,0,4.280184403043069,1
7410-OIEDU,1,25.229518481795335,1
2273-QCKXA,0,21.259684274105247,1
